ShipName, Damage, Hit, Pierced, Penetrated, Received
D DDC Shield, 2.20685714285714, 1.43666666666667, 1.29380952380952, 1.29380952380952, 0.857142857142857
D DDC Shield, 2.18371428571429, 1.43057142857143, 1.28771428571429, 1.28771428571429, 0.857142857142857
D DDC Shield, 2.15219047619048, 1.40838095238095, 1.26552380952381, 1.26552380952381, 0.857142857142857
D DDC Shield, 2.19495238095238, 1.4247619047619, 1.28190476190476, 1.28190476190476, 0.857142857142857
D DDC Shield, 2.2447619047619, 1.42695238095238, 1.28409523809524, 1.28409523809524, 0.857142857142857
D DDC Shield, 2.154, 1.41895238095238, 1.27609523809524, 1.27609523809524, 0.857142857142857
D DDC Shield, 2.08457142857143, 1.40942857142857, 1.26657142857143, 1.26657142857143, 0.857142857142857
D DDC Shield, 2.25285714285714, 1.42761904761905, 1.2847619047619, 1.2847619047619, 0.857142857142857
D DDC Shield, 2.07390476190476, 1.40333333333333, 1.26047619047619, 1.26047619047619, 0.857142857142857
E DDC HP, 1.96484848484848, 1.34636363636364, 1.34636363636364, 1.34636363636364, 1
E DDC HP, 2.12315151515152, 1.34212121212121, 1.34212121212121, 1.34212121212121, 1
E DDC HP, 1.99042424242424, 1.33369696969697, 1.33369696969697, 1.33369696969697, 1
E DDC HP, 1.98375757575758, 1.32751515151515, 1.32751515151515, 1.32751515151515, 1
E DDC HP, 2.06127272727273, 1.32969696969697, 1.32969696969697, 1.32969696969697, 1
E DDC HP, 2.07436363636364, 1.35272727272727, 1.35272727272727, 1.35272727272727, 1
E DDC HP, 1.99339393939394, 1.32206060606061, 1.32206060606061, 1.32206060606061, 1
E DDC HP, 1.95466666666667, 1.32606060606061, 1.32606060606061, 1.32606060606061, 1
E DDC HP, 2.07890909090909, 1.336, 1.336, 1.336, 1
E DDC HP, 1.96133333333333, 1.34993939393939, 1.34993939393939, 1.34993939393939, 1
F FF Null, 2.08583333333333, 1.39791666666667, 1.23125, 1.22173333333333, 0.833333333333333
